Dataset,Best Model,Combined Score,AUROC,Specificity,Sensitivity,F1 Score,PR AUC,Best Parameters,Feature Importance
32,Support Vector Classifier,0.7233330465683406,0.5852272727272727,0.0,0.9090909090909091,0.5405405405405406,0.5355982797159268,"{'kernel': 'poly', 'gamma': 'scale', 'C': 0.01}",
33,Random Forest,0.8133116883116883,0.5,0.25,1.0,0.7272727272727273,0.5595238095238095,"{'n_estimators': 400, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': None, 'max_depth': 20}","[0.01678962 0.00722626 0.00498761 0.00922368 0.01221708 0.00452589
 0.00221707 0.00828222 0.00250896 0.00597605 0.00802665 0.17046592
 0.005778   0.00668677 0.00348223 0.02369351 0.00247727 0.0022883
 0.01675248 0.0063627  0.01407301 0.02922214 0.00073073 0.002401
 0.0269196  0.00564724 0.00418039 0.00665133 0.00572294 0.00167967
 0.12084852 0.00111458 0.00650558 0.00561881 0.0040057  0.00038571
 0.00312899 0.00043945 0.00461601 0.00399758 0.0003125  0.0092936
 0.01062168 0.         0.00258225 0.00842252 0.00111429 0.00685473
 0.00468466 0.00151605 0.0133491  0.05724805 0.00076715 0.00557725
 0.00213147 0.00067143 0.00070211 0.00874458 0.0103539  0.00543401
 0.0028986  0.01955662 0.00358506 0.02012575 0.01268435 0.00743074
 0.00152567 0.0053976  0.00558763 0.00778108 0.00139461 0.0056285
 0.00080128 0.00075    0.00249397 0.00086081 0.00508141 0.0006993
 0.02731618 0.00954766 0.00574208 0.04612477 0.004228   0.02498213
 0.00428372 0.00372767 0.01951689 0.00500776 0.00296557 0.00077778
 0.01811474 0.00447681 0.00066667]"
34,Logistic Regression,0.5684523809523809,0.625,0.75,0.6666666666666666,0.5714285714285714,0.40277777777777773,"{'solver': 'saga', 'penalty': 'l2', 'C': 100.0}","[ 0.47290349 -0.35011132 -0.74630607  0.12885338 -0.29945987  0.66472414
 -0.52242753 -0.05846539 -0.29010571  0.19405985  0.48640234 -0.12138224
 -1.26792554  0.26641142  1.30768161  0.5813648   0.41023813 -0.07739388
 -0.1328095   0.61268711 -0.4066033  -0.53676441 -0.62699904  0.06559955
 -0.32691722  0.35474388  0.19362122  0.07985599 -0.11628684 -1.23169896
 -0.88949728  0.2257567  -0.13339729 -0.16176446  0.39617123  0.37146389
  0.19207167 -0.05253827  0.3768698  -0.38274247  1.07740722 -1.28091955
 -0.75895134  0.48113085 -0.03057537 -0.89399463  0.02985412 -0.00687558
 -0.65845105  0.16937332 -0.03998918  0.09867642  0.22021395 -0.72221011
  0.40033222  0.43861414 -0.73456553 -0.37804766 -0.41987181 -0.00165283
  0.16140507 -0.05246579  0.19587318  0.60368415 -1.24261863 -0.25420759
 -0.58102476  0.26775664  0.73013146  1.14314809  0.45618272  0.50676926
 -0.41153963  0.38213862 -0.22105544  0.11782614 -0.63804636 -0.06469337
 -1.01201066 -0.39169508  1.03015023  0.27598162 -0.23124806  1.21026677
  1.32107866 -1.33140755  0.2525892  -0.60432186 -0.09246323 -0.35615499
  0.39003564  1.05213143  0.54415383 -0.25661128  0.00462104]"
35,Logistic Regression,0.20934061926205888,0.5533333333333335,0.7333333333333333,0.1,0.13333333333333333,0.44224650865130744,"{'solver': 'lbfgs', 'penalty': 'l2', 'C': 100.0}","[ 0.49838522 -1.23929255 -0.3547523   0.68607743  0.06338024 -2.20785785
  1.66548398  0.53903584 -1.05325147 -1.03300663 -0.00927021  1.27872471
  0.12549395 -0.69343016  1.55601339  2.21053689 -0.72583015  4.3545121
 -0.94635895  0.84527062 -1.64401986  1.38553718  0.24303373  0.36076717
 -1.97801574 -2.12366389 -2.66278452  0.49696376  0.253107   -1.80062296
  0.6571475   0.62744759  0.32283666 -0.72074321 -0.33058821  1.90093248
  0.05463372 -2.17799649 -1.0687447   0.09471111  1.32001539  0.8859289
 -2.15069192  1.44802138  1.1434521   2.22605496  0.23569574 -0.62123825
 -1.68264075 -0.03073675 -1.68486131  0.73816876 -1.56653527 -0.95996166
  1.01379124  0.80376036  0.79715904 -0.65719079 -1.58184449  0.67105918
 -1.02469513  0.45814591 -0.50865131 -0.31275209  2.15832053  0.74277435
 -1.47647128 -0.57384854  1.33776579 -3.02580652  1.98608898 -0.41173509
 -1.98235041  0.62857559  1.88312535  0.43720985  1.54376303  1.23700631
 -0.67685909  0.29216257  1.15214283 -0.11506892  1.32877239  0.65625015
  1.5396592  -0.11320671 -0.0641759  -2.10487689 -0.56804425  2.37257983
  0.43197656 -0.05413561 -1.23003099  0.85039469 -1.75624439 -0.15100411
  1.525438    1.16885799  1.39571059]"
36,Support Vector Classifier,0.6242857142857143,0.8095238095238095,0.7142857142857143,0.6666666666666666,0.5714285714285714,0.5888888888888889,"{'kernel': 'linear', 'gamma': 'auto', 'C': 1000.0}","[ 2.27849549e-02  1.08741837e-02 -1.59523889e-02 -2.14262246e-03
 -2.60753658e-02  6.51472367e-02 -2.86934338e-02  4.56792040e-02
 -1.45390658e-01 -1.29025984e-01 -7.88592891e-02 -1.02907807e-02
 -5.86915728e-02 -2.28440722e-03  1.05445251e-01  4.15263586e-02
 -7.16695504e-02  1.37279580e-01  2.75003544e-02 -8.56428002e-02
 -1.50151901e-01  5.00708800e-02  1.62196739e-01  2.38751993e-02
  5.19852276e-02  6.05559706e-02 -1.12890064e-01 -2.28992938e-02
 -8.22001271e-02 -1.29288180e-01  3.61916633e-02 -8.88222201e-02
 -8.18221403e-02  1.02895063e-01  5.37968492e-02 -4.01651018e-02
 -2.00398323e-01 -5.83832371e-02 -1.16429274e-01 -7.16445515e-02
 -2.35292731e-02 -3.93423843e-02  8.20619588e-02  7.37707940e-02
  4.51845505e-03  2.05388214e-02 -8.93594602e-02 -1.14596610e-01
  1.51736502e-01 -2.41747800e-01 -1.22781258e-01 -1.17858071e-02
 -7.25362780e-03 -1.53508301e-01  3.17907708e-02  3.61055196e-02
 -1.81410631e-01  2.28790945e-02  4.75764414e-02  1.63536770e-02
 -3.60820951e-02 -9.48405714e-02  5.23226934e-02  2.41308632e-02
 -1.11411694e-01 -7.34574954e-02 -3.43994149e-02 -2.83318041e-03
  9.07500297e-02 -2.20281730e-02 -6.16070282e-02 -2.36456018e-04
 -1.15448085e-01  2.17975338e-02 -5.69454880e-02  3.23274940e-02
  8.43652236e-02  9.81450411e-02 -4.10150246e-02  1.48712654e-01
 -9.50935548e-02 -7.29609164e-02  4.29915262e-02  3.09026858e-02
 -1.22994942e-01  4.85851095e-02 -1.34438176e-01 -3.20930820e-02
  1.72698222e-01 -6.87433407e-03 -1.45995096e-01  1.26142571e-01
  1.94975795e-01 -1.54221616e-01  4.58625950e-02 -8.50281227e-02
 -2.92319519e-02 -3.55114095e-02  1.61796744e-01  8.48905610e-02
  1.68086349e-01  6.81633959e-02  2.11533286e-02]"
41,Support Vector Classifier,0.7108583959899749,0.6666666666666666,0.2,0.8333333333333334,0.5263157894736842,0.6297619047619047,"{'kernel': 'poly', 'gamma': 'scale', 'C': 10.0}",
168,Decision Tree,0.06666666666666667,0.4285714285714286,1.0,0.0,0.0,0.2222222222222222,"{'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': None, 'max_depth': None}","[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.04444444 0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.30839161 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.6017094  0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.04545455 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.        ]"
169,Support Vector Classifier,0.5906349206349206,0.6111111111111112,0.5555555555555556,0.6666666666666666,0.5714285714285714,0.47671957671957677,"{'kernel': 'poly', 'gamma': 'auto', 'C': 10.0}",
171,Decision Tree,0.6111904761904762,0.7000000000000001,0.8888888888888888,0.6,0.6666666666666666,0.5928571428571429,"{'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': None, 'max_depth': None}","[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.12110806 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.03316327 0.48480931 0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.20420168 0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.12397959 0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.0327381  0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.        ]"
202,Decision Tree,0.4175,0.5833333333333334,0.6666666666666666,0.5,0.4,0.29166666666666663,"{'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': None, 'max_depth': None}","[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.27272727 0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.72727273 0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.        ]"
